id,from,to,type,category
"edge:risk-officer-cites-b0l1","council:risk-officer","evidence:B0L1","cites","council"
"edge:credit-fundamentals-cites-b0l2","council:credit-fundamentals","evidence:B0L2","cites","council"
"edge:risk-officer-disagrees-credit-fundamentals","council:risk-officer","council:credit-fundamentals","disagrees","council"
"edge:customer-advocate-cites-b0l1","council:customer-advocate","evidence:B0L1","cites","council"
"edge:e1","banking-v1:n1:snapshot","banking-v1:n0:source","DERIVED_FROM","lineage"
"edge:e2","banking-v1:n2:evidence","banking-v1:n1:snapshot","DERIVED_FROM","lineage"
"edge:e3","banking-v1:n3:claim","banking-v1:n2:evidence","DERIVED_FROM","lineage"
"edge:e4","banking-v1:n4:recommendation","banking-v1:n3:claim","DERIVED_FROM","lineage"
"edge:e5","banking-v1:n5:signature","banking-v1:n4:recommendation","SEALED_BY","lineage"
"edge:e6","banking-v1:n6:audit_record","banking-v1:n5:signature","DERIVED_FROM","lineage"
"edge:downstream:banking-v1-n4-recommendation","banking-v1:n4:recommendation","banking-v1:n3:claim","DERIVED_FROM","downstream"
"edge:downstream:banking-v1-n5-signature","banking-v1:n5:signature","banking-v1:n3:claim","DERIVED_FROM","downstream"
"edge:downstream:banking-v1-n6-audit-record","banking-v1:n6:audit_record","banking-v1:n3:claim","DERIVED_FROM","downstream"
"edge:decision-review","presentation:decision","presentation:human-review","BINDS","human_review"
"edge:review-approval","presentation:human-review","presentation:approval","BINDS","approval"
"edge:verify:hash-chain","presentation:verify-hash-chain","banking-v1:n3:claim","ATTESTS","verification"
"edge:verify:record-integrity","presentation:verify-record-integrity","banking-v1:n3:claim","ATTESTS","verification"
"edge:verify:digital-signature","presentation:verify-signature","banking-v1:n3:claim","ATTESTS","verification"
"edge:verify:analytical-correctness","presentation:verify-analytical","banking-v1:n3:claim","ATTESTS","verification"
