schema_version,case_id,generated_at,row_type,council_voice,stance,confidence,risk_category,metric_name,metric_value,evidence_id,evidence_label,relationship_from,relationship_to,relationship_type,recommendation,compliance_status,signed_result_status,audit_reference,mode_label
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","council","Credit Fundamentals","approve-with-conditions",0.72,,,,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","council","Risk Officer","caution",0.68,,,,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","council","Fair Lending Compliance","no-disparate-impact",0.8,,,,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","council","Customer Advocate","support-with-structure",0.61,,,,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","council","Macro Contrarian","abstain",0.5,,,,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","metric",,,,"warn","DTI",0.41,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","metric",,,,"ok","FICO",706,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","metric",,,,"warn","LTV",0.83,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","metric",,,,"info","AnnualIncome",82400,,,,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","evidence",,,,,,,"B0L1","Debt-to-income: 0.41",,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","evidence",,,,,,,"B0L2","Policy ceiling: 0.36",,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","evidence",,,,,,,"B0L0","Annual income: $82,400",,,,"REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","relationship",,,,,,,,,"Risk Officer","B0L1","cites","REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","relationship",,,,,,,,,"Credit Fundamentals","B0L2","cites","REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","relationship",,,,,,,,,"Risk Officer","Credit Fundamentals","disagrees","REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
"shadow-flow-export/1.0","case-2026-Q3-0042","2026-07-22T00:00:00.000Z","relationship",,,,,,,,,"Customer Advocate","B0L1","cites","REVIEW","clear","sealed-verified","hash-chain:demo","FIXTURE MODEL"
