id,type,sequence,label_en,label_zh,status,status_family,group,source_ref,is_first_failure,is_affected_downstream
"presentation:case-card","case","","MID-MARKET LOAN — CASE #SL-2026-014 — $8.4M REQUEST","中型市场贷款 — CASE #SL-2026-014 — 请求金额 $8.4M","PRESENT","neutral","left-case","fixtures/banking-narrative.mjs#case_display",false,false
"evidence:B0L1","evidence_item","","Debt-to-income: 0.41","债务收入比:0.41","VERIFIED","pass","left-case","fixtures/banking-narrative.mjs#evidence.B0L1",false,false
"evidence:B0L2","evidence_item","","Policy ceiling: 0.36","政策上限:0.36","VERIFIED","pass","left-case","fixtures/banking-narrative.mjs#evidence.B0L2",false,false
"evidence:B0L0","evidence_item","","Annual income: $82,400","年收入:$82,400","VERIFIED","pass","left-case","fixtures/banking-narrative.mjs#evidence.B0L0",false,false
"council:credit-fundamentals","council_voice","","Credit Fundamentals — approve-with-conditions (0.72)","信贷基本面 — 有条件批准(置信度 0.72)","approve-with-conditions","warn","ring-council","fixtures/banking-narrative.mjs#council.Credit Fundamentals",false,false
"council:risk-officer","council_voice","","Risk Officer — caution (0.68)","风险官 — 谨慎(置信度 0.68)","caution","warn","ring-council","fixtures/banking-narrative.mjs#council.Risk Officer",false,false
"council:fair-lending-compliance","council_voice","","Fair Lending Compliance — no-disparate-impact (0.80)","公平信贷合规 — 无差别性影响(置信度 0.80)","no-disparate-impact","pass","ring-council","fixtures/banking-narrative.mjs#council.Fair Lending Compliance",false,false
"council:customer-advocate","council_voice","","Customer Advocate — support-with-structure (0.61)","客户代表 — 支持但需重组(置信度 0.61)","support-with-structure","warn","ring-council","fixtures/banking-narrative.mjs#council.Customer Advocate",false,false
"council:macro-contrarian","council_voice","","Macro Contrarian — abstain (0.50)","宏观反方 — 弃权(置信度 0.50)","abstain","abstain","ring-council","fixtures/banking-narrative.mjs#council.Macro Contrarian",false,false
"banking-v1:n0:source","source",0,"Loan file","循环贷款文件","VERIFIED","pass","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n0:source",false,false
"banking-v1:n1:snapshot","snapshot",1,"Intake snapshot","受理快照","VERIFIED","pass","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n1:snapshot",false,false
"banking-v1:n2:evidence","evidence",2,"DTI / FICO / LTV","DTI / FICO / LTV","VERIFIED","pass","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n2:evidence",false,false
"banking-v1:n3:claim","claim",3,"Council claims","council 声明","FIRST_FAILURE","fail","center","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n3:claim",true,false
"banking-v1:n4:recommendation","recommendation",4,"REVIEW","REVIEW","AFFECTED_DOWNSTREAM","fail","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n4:recommendation",false,true
"banking-v1:n5:signature","signature",5,"Ed25519 seal","Ed25519 封签","AFFECTED_DOWNSTREAM","fail","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n5:signature",false,true
"banking-v1:n6:audit_record","audit_record",6,"Audit record","审计记录","AFFECTED_DOWNSTREAM","fail","path-lineage","fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n6:audit_record",false,true
"presentation:decision","recommendation","","Council recommendation: REVIEW (dissent 3/5)","Council 建议:REVIEW(异议 3/5)","REQUIRES_HUMAN_REVIEW","warn","right-downstream","fixtures/banking-narrative.mjs#decision",false,false
"presentation:human-review","human_review","","REQUIRES HUMAN REVIEW — routed to a person","需人工复核——已转交人工","REQUIRES_HUMAN_REVIEW","warn","right-downstream","fixtures/banking-narrative.mjs#decision.recommendation=REVIEW",false,false
"presentation:approval","human_approval","","Human approval: NOT PRESENT in this fixture (distinct from review)","人工批准:本 fixture 中不存在(与人工复核是两回事)","NOT_PRESENT","neutral","right-downstream","lib/shadow-semantic-vocabulary.mjs#TRUST_DIMENSIONS.HUMAN_APPROVAL",false,false
"presentation:verify-hash-chain","verification","","HASH CHAIN: FAILED","哈希链:失败","FAILED","fail","verification-area","fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.HASH_CHAIN",false,false
"presentation:verify-record-integrity","verification","","RECORD INTEGRITY: FAILED","记录完整性:失败","FAILED","fail","verification-area","fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.RECORD_INTEGRITY",false,false
"presentation:verify-signature","verification","","DIGITAL SIGNATURE: FAILED","数字签名:失败","FAILED","fail","verification-area","fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.DIGITAL_SIGNATURE",false,false
"presentation:verify-analytical","verification","","ANALYTICAL CORRECTNESS: NOT EVALUATED","分析正确性:不评估","NOT_EVALUATED","info","verification-area","fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.ANALYTICAL_CORRECTNESS",false,false
"presentation:attestation","attestation","","Attestation status: sealed-verified (hash-chain:demo)","签章状态:sealed-verified(hash-chain:demo)","PRESENT","neutral","verification-area","fixtures/banking-narrative.mjs#decision.signed_result_status",false,false
"presentation:device-boundary","capability_disclaimer","","SIMULATION — Flow visualization of a Shadow fixture; no physical Shadow Lens capability is claimed","模拟——Flow 对 Shadow fixture 的可视化;不声称任何 Shadow Lens 实体设备能力","NOT_EVALUATED","info","verification-area","reports/flow-v11/shadow-flow-demo-manifest.json#capability",false,false
