id,idList,idListTypes,label_en,label_zh,node_type,status,status_family,presentation_group,shadow_node_id,evidence_ref,council_role,council_finding,is_first_failure,lineage_order,is_affected_downstream,human_review_status,approval_status,verification_status
1,,,MID-MARKET LOAN — CASE #SL-2026-014 — $8.4M REQUEST,中型市场贷款 — CASE #SL-2026-014 — 请求金额 $8.4M,case,PRESENT,neutral,left-case,presentation:case-card,fixtures/banking-narrative.mjs#case_display,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
2,,,Debt-to-income: 0.41,债务收入比:0.41,evidence_item,VERIFIED,pass,left-case,evidence:B0L1,fixtures/banking-narrative.mjs#evidence.B0L1,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
3,,,Policy ceiling: 0.36,政策上限:0.36,evidence_item,VERIFIED,pass,left-case,evidence:B0L2,fixtures/banking-narrative.mjs#evidence.B0L2,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
4,,,"Annual income: $82,400","年收入:$82,400",evidence_item,VERIFIED,pass,left-case,evidence:B0L0,fixtures/banking-narrative.mjs#evidence.B0L0,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
5,3,cites,Credit Fundamentals — approve-with-conditions (0.72),信贷基本面 — 有条件批准(置信度 0.72),council_voice,approve-with-conditions,warn,ring-council,council:credit-fundamentals,fixtures/banking-narrative.mjs#council.Credit Fundamentals,Credit Fundamentals,approve-with-conditions (0.72),false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
6,2|5,cites|disagrees,Risk Officer — caution (0.68),风险官 — 谨慎(置信度 0.68),council_voice,caution,warn,ring-council,council:risk-officer,fixtures/banking-narrative.mjs#council.Risk Officer,Risk Officer,caution (0.68),false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
7,,,Fair Lending Compliance — no-disparate-impact (0.80),公平信贷合规 — 无差别性影响(置信度 0.80),council_voice,no-disparate-impact,pass,ring-council,council:fair-lending-compliance,fixtures/banking-narrative.mjs#council.Fair Lending Compliance,Fair Lending Compliance,no-disparate-impact (0.80),false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
8,2,cites,Customer Advocate — support-with-structure (0.61),客户代表 — 支持但需重组(置信度 0.61),council_voice,support-with-structure,warn,ring-council,council:customer-advocate,fixtures/banking-narrative.mjs#council.Customer Advocate,Customer Advocate,support-with-structure (0.61),false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
9,,,Macro Contrarian — abstain (0.50),宏观反方 — 弃权(置信度 0.50),council_voice,abstain,abstain,ring-council,council:macro-contrarian,fixtures/banking-narrative.mjs#council.Macro Contrarian,Macro Contrarian,abstain (0.50),false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
10,,,Loan file,循环贷款文件,source,VERIFIED,pass,path-lineage,banking-v1:n0:source,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n0:source,,,false,0,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
11,10,DERIVED_FROM,Intake snapshot,受理快照,snapshot,VERIFIED,pass,path-lineage,banking-v1:n1:snapshot,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n1:snapshot,,,false,1,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
12,11,DERIVED_FROM,DTI / FICO / LTV,DTI / FICO / LTV,evidence,VERIFIED,pass,path-lineage,banking-v1:n2:evidence,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n2:evidence,,,false,2,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
13,12,DERIVED_FROM,Council claims,council 声明,claim,FIRST_FAILURE,fail,center,banking-v1:n3:claim,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n3:claim,,,true,3,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
14,13,DERIVED_FROM,REVIEW,REVIEW,recommendation,AFFECTED_DOWNSTREAM,fail,path-lineage,banking-v1:n4:recommendation,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n4:recommendation,,,false,4,true,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
15,13|14,DERIVED_FROM|SEALED_BY,Ed25519 seal,Ed25519 封签,signature,AFFECTED_DOWNSTREAM,fail,path-lineage,banking-v1:n5:signature,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n5:signature,,,false,5,true,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
16,13|15,DERIVED_FROM|DERIVED_FROM,Audit record,审计记录,audit_record,AFFECTED_DOWNSTREAM,fail,path-lineage,banking-v1:n6:audit_record,fixtures/guided-stories/audit-chain.guided-story.json#banking-v1:n6:audit_record,,,false,6,true,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
17,18,BINDS,Council recommendation: REVIEW (dissent 3/5),Council 建议:REVIEW(异议 3/5),recommendation,REQUIRES_HUMAN_REVIEW,warn,right-downstream,presentation:decision,fixtures/banking-narrative.mjs#decision,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
18,19,BINDS,REQUIRES HUMAN REVIEW — routed to a person,需人工复核——已转交人工,human_review,REQUIRES_HUMAN_REVIEW,warn,right-downstream,presentation:human-review,fixtures/banking-narrative.mjs#decision.recommendation=REVIEW,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
19,,,Human approval: NOT PRESENT in this fixture (distinct from review),人工批准:本 fixture 中不存在(与人工复核是两回事),human_approval,NOT_PRESENT,neutral,right-downstream,presentation:approval,lib/shadow-semantic-vocabulary.mjs#TRUST_DIMENSIONS.HUMAN_APPROVAL,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
20,13,ATTESTS,HASH CHAIN: FAILED,哈希链:失败,verification,FAILED,fail,verification-area,presentation:verify-hash-chain,fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.HASH_CHAIN,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
21,13,ATTESTS,RECORD INTEGRITY: FAILED,记录完整性:失败,verification,FAILED,fail,verification-area,presentation:verify-record-integrity,fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.RECORD_INTEGRITY,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
22,13,ATTESTS,DIGITAL SIGNATURE: FAILED,数字签名:失败,verification,FAILED,fail,verification-area,presentation:verify-signature,fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.DIGITAL_SIGNATURE,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
23,13,ATTESTS,ANALYTICAL CORRECTNESS: NOT EVALUATED,分析正确性:不评估,verification,NOT_EVALUATED,info,verification-area,presentation:verify-analytical,fixtures/guided-stories/audit-chain.guided-story.json#scenarios.tamper_seq_3.dimension_status.ANALYTICAL_CORRECTNESS,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
24,,,Attestation status: sealed-verified (hash-chain:demo),签章状态:sealed-verified(hash-chain:demo),attestation,PRESENT,neutral,verification-area,presentation:attestation,fixtures/banking-narrative.mjs#decision.signed_result_status,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
25,,,SIMULATION — Flow visualization of a Shadow fixture; no physical Shadow Lens capability is claimed,模拟——Flow 对 Shadow fixture 的可视化;不声称任何 Shadow Lens 实体设备能力,capability_disclaimer,NOT_EVALUATED,info,verification-area,presentation:device-boundary,reports/flow-v11/shadow-flow-demo-manifest.json#capability,,,false,,false,REQUIRES_HUMAN_REVIEW,NOT_PRESENT,FAILED
